City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,polyarnyy,69.1989,33.4478,-0.93,72,0,9.58,RU,1682409403
1,linyi,35.0631,118.3428,15.76,59,90,5.24,CN,1682409129
2,floral city,28.75,-82.2968,20.01,97,78,2.55,US,1682409404
3,west island,-12.1568,96.8225,28.99,74,75,8.75,CC,1682409404
4,santa luzia,-19.7697,-43.8514,18.5,77,0,2.06,BR,1682409404
5,adamstown,-25.066,-130.1015,24.97,88,96,5.17,PN,1682409121
6,maragogi,-9.0122,-35.2225,23.71,89,37,2.02,BR,1682409405
7,kodiak,57.79,-152.4072,1.43,77,100,2.93,US,1682409405
8,waitangi,-43.9535,-176.5597,13.79,79,91,5.36,NZ,1682409405
9,wanlaweyn,2.6185,44.8938,30.96,54,58,3.94,SO,1682409405
10,massenya,11.4039,16.1705,34.96,30,68,3.33,TD,1682409406
11,lebu,-37.6167,-73.65,9.67,89,87,1.8,CL,1682409406
12,port saint john's,-31.6229,29.5448,23.49,78,93,2.32,ZA,1682409406
13,bredasdorp,-34.5322,20.0403,17.56,66,90,0.92,ZA,1682409130
14,yellowknife,62.456,-114.3525,2.29,69,20,5.14,CA,1682409319
15,touros,-5.1989,-35.4608,23.82,94,26,4.19,BR,1682409124
16,mburucuya,-28.0454,-58.2245,14.83,98,31,2.26,AR,1682409407
17,bethel,41.3712,-73.414,7.19,80,75,1.54,US,1682409127
18,papatowai,-46.5619,169.4708,12.01,93,100,7.49,NZ,1682409407
19,jamestown,42.097,-79.2353,2.77,92,100,1.54,US,1682409162
20,grytviken,-54.2811,-36.5092,2.5,92,63,3.92,GS,1682409407
21,ust-nera,64.5667,143.2,-1.02,87,88,2.27,RU,1682409206
22,talnakh,69.4865,88.3972,3.45,94,31,2.87,RU,1682409408
23,puerto santa,-8.9906,-78.6456,23.33,86,100,2.67,PE,1682409408
24,tiksi,71.6872,128.8694,-7.82,90,100,4.97,RU,1682409168
25,edinburgh of the seven seas,-37.0676,-12.3116,16.72,72,100,13.73,SH,1682409408
26,celestun,20.8667,-90.4,24.3,83,9,2.28,MX,1682409408
27,port elizabeth,-33.918,25.5701,19.62,80,75,1.54,ZA,1682409131
28,ribeira grande,38.5167,-28.7,17.22,94,75,6.17,PT,1682409132
29,vilyuchinsk,52.9306,158.4028,5.15,75,25,3.15,RU,1682409188
30,thompson,55.7435,-97.8558,-2.91,63,0,2.06,CA,1682409121
31,tshikapa,-6.4167,20.8,25.35,83,100,1.32,CD,1682409410
32,punta arenas,-53.15,-70.9167,5.06,87,20,6.69,CL,1682409410
33,dunedin,-45.8742,170.5036,16.0,51,59,0.45,NZ,1682409410
34,udachny,66.4167,112.4,-1.97,63,100,7.39,RU,1682409145
35,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,45,75,5.0,RU,1682409410
36,aykhal,66.0,111.5,-3.3,83,100,8.94,RU,1682409411
37,nemuro,43.3236,145.575,5.11,75,11,4.07,JP,1682409354
38,ushuaia,-54.8,-68.3,3.81,87,40,2.57,AR,1682409411
39,tura,25.5198,90.2201,33.01,27,41,2.89,IN,1682409411
40,quellon,-43.1167,-73.6167,12.14,94,100,0.0,CL,1682409411
41,constantia,44.1833,28.65,14.38,75,58,7.69,RO,1682409165
42,georgetown,5.4112,100.3354,32.97,62,20,4.12,MY,1682409183
43,guane,22.2025,-84.0875,22.85,78,25,1.18,CU,1682409412
44,poiana lacului,44.8167,24.7333,11.02,92,100,2.91,RO,1682409412
45,kulhudhuffushi,6.6221,73.07,29.54,67,100,4.17,MV,1682409412
46,kalkaman,51.9525,76.0211,13.9,43,95,4.4,KZ,1682409413
47,bilibino,68.0546,166.4372,-7.46,78,10,1.17,RU,1682409413
48,ilam,26.9167,87.9167,24.55,45,85,2.82,NP,1682409413
49,iqaluit,63.7506,-68.5145,-1.15,100,100,3.09,CA,1682409413
50,susuman,62.7833,148.1667,-2.62,82,87,2.63,RU,1682409222
51,byron bay,-28.65,153.6167,17.62,69,36,5.57,AU,1682409326
52,verkhnevilyuysk,63.4453,120.3167,-1.17,87,100,2.84,RU,1682409414
53,st. john's,47.5649,-52.7093,1.55,95,100,8.49,CA,1682409205
54,crane,31.3974,-102.3501,14.04,79,63,9.87,US,1682409414
55,luebo,-5.35,21.4167,25.49,78,100,0.54,CD,1682409415
56,aioun,16.6614,-9.6149,30.59,11,5,5.23,MR,1682409416
57,ingeniero jacobacci,-41.3427,-69.5448,9.41,47,98,3.23,AR,1682409416
58,port-aux-francais,-49.35,70.2167,4.76,70,75,6.44,TF,1682409134
59,avarua,-21.2078,-159.775,24.03,83,40,4.12,CK,1682409416
60,beckley,37.7782,-81.1882,0.96,76,18,0.44,US,1682409417
61,villa dolores,-31.9459,-65.1896,13.16,80,92,1.46,AR,1682409418
62,timimoun,29.2639,0.231,27.46,14,4,3.47,DZ,1682409418
63,east london,-33.0153,27.9116,21.52,78,75,4.12,ZA,1682409419
64,colonia,50.9333,6.95,8.96,76,20,3.6,DE,1682409419
65,lihue,21.9789,-159.3672,21.58,88,85,5.22,US,1682409419
66,puerto natales,-51.7236,-72.4875,6.61,74,99,6.51,CL,1682409420
67,stanley,54.868,-1.6985,4.88,72,0,4.12,GB,1682409132
68,buka,40.8108,69.1986,27.27,24,2,2.47,UZ,1682409421
69,albany,42.6001,-73.9662,3.62,85,20,0.45,US,1682409425
70,saint-pierre,-21.3393,55.4781,26.43,78,99,4.63,RE,1682409426
71,alfredo chaves,-20.635,-40.7497,20.76,87,92,1.9,BR,1682409431
72,vilyuysk,63.7553,121.6247,-1.25,83,100,1.51,RU,1682409432
73,brookings,44.3114,-96.7984,1.77,65,22,3.53,US,1682409432
74,lethem,3.3803,-59.7968,24.14,90,100,3.47,GY,1682409433
75,cabo san lucas,22.8909,-109.9124,21.95,49,100,1.79,MX,1682409433
76,rybnaya sloboda,55.4613,50.1409,17.11,48,100,4.35,RU,1682409433
77,pizarro,4.9533,-77.366,25.0,87,15,0.94,CO,1682409433
78,plettenberg bay,-34.0527,23.3716,18.99,70,82,0.68,ZA,1682409433
79,ugoofaaru,5.6667,73.0,29.35,69,100,4.11,MV,1682409433
80,ghat,24.9647,10.1728,26.37,23,81,2.6,LY,1682409434
81,changji,44.0167,87.3167,19.44,32,0,5.0,CN,1682409434
82,sinop,41.7711,34.8709,14.68,51,4,2.21,TR,1682409189
83,isafjordur,66.0755,-23.124,-0.98,59,20,8.23,IS,1682409162
84,portland,45.5234,-122.6762,9.43,85,15,0.89,US,1682409434
85,mount isa,-20.7333,139.5,28.87,37,75,2.57,AU,1682409200
86,pointe-noire,-4.7761,11.8635,26.21,87,100,3.18,CG,1682409435
87,loen,7.7601,168.2307,25.25,85,100,1.83,MH,1682409436
88,novodvinsk,64.4165,40.8122,0.86,80,40,2.14,RU,1682409436
89,hampton bays,40.869,-72.5176,8.81,87,7,4.29,US,1682409436
90,uliastay,47.7417,96.8444,10.92,21,100,5.65,MN,1682409436
91,acarau,-2.8856,-40.12,24.14,87,64,3.65,BR,1682409436
92,lautoka,-17.6167,177.4667,26.92,78,75,3.09,FJ,1682409318
93,kiraoli,27.15,77.7833,34.94,15,85,3.47,IN,1682409437
94,blackmans bay,-43.0167,147.3167,17.07,75,0,2.0,AU,1682409437
95,margaret river,-33.95,115.0667,13.6,87,100,9.34,AU,1682409140
96,lazaro cardenas,17.9583,-102.2,24.02,79,91,1.3,MX,1682409264
97,tazovsky,67.4667,78.7,-1.13,87,99,4.45,RU,1682409139
98,slave lake,55.2834,-114.769,2.99,87,100,4.12,CA,1682409438
99,urangan,-25.3,152.9,22.38,68,42,9.9,AU,1682409296
100,shimoda,34.6667,138.95,17.2,62,100,6.35,JP,1682409438
101,non thai,15.1981,102.0358,39.29,24,100,2.39,TH,1682409204
102,island harbour,50.724,-1.2758,7.77,75,0,4.02,GB,1682409438
103,mukalla,14.5425,49.1242,30.63,56,100,3.99,YE,1682409439
104,hasaki,35.7333,140.8333,16.23,52,100,6.65,JP,1682409439
105,dzhalagash,45.0833,64.6667,23.08,16,4,10.52,KZ,1682409439
106,gadzhiyevo,69.2551,33.3362,-1.27,73,0,9.83,RU,1682409439
107,korla,41.7597,86.1469,22.37,15,100,2.89,CN,1682409439
108,quzhou,28.9594,118.8686,13.11,96,100,3.15,CN,1682409439
109,ishigaki,24.3448,124.1572,22.07,94,75,4.12,JP,1682409247
110,scottburgh,-30.2867,30.7532,24.18,76,91,5.44,ZA,1682409440
111,guerrero negro,27.9769,-114.0611,15.02,80,73,5.2,MX,1682409225
112,pionerskiy,54.9508,20.2275,7.91,95,100,6.38,RU,1682409440
113,agat village,13.3886,144.6585,28.52,89,75,4.63,GU,1682409440
114,firuzabad,28.8438,52.5707,24.74,23,100,5.27,IR,1682409441
115,la passe,45.5549,-0.8967,11.69,87,100,2.27,FR,1682409441
116,kyren,51.6828,102.1408,15.12,26,84,3.14,RU,1682409441
117,tomah,43.9786,-90.504,-0.36,98,18,2.28,US,1682409441
118,langzhong,31.5504,105.9938,22.03,49,16,2.21,CN,1682409441
119,kapit,2.0167,112.9333,32.14,61,100,1.54,MY,1682409441
120,pangody,65.85,74.4859,-1.63,78,11,5.17,RU,1682409442
121,whitehorse,60.7161,-135.0538,-0.57,74,20,1.54,CA,1682409442
122,hola prystan',46.5206,32.5258,15.72,45,0,2.66,UA,1682409442
123,magong,23.5654,119.5863,21.72,84,92,6.5,TW,1682409247
124,grootfontein,-19.5667,18.1167,18.76,63,20,1.54,NA,1682409442
125,dalhart,36.0595,-102.5133,7.5,98,100,6.57,US,1682409442
126,reggane,26.7158,0.1714,29.78,11,0,8.07,DZ,1682409443
127,chelm,51.1431,23.4716,14.38,73,100,5.37,PL,1682409443
128,shingu,33.7333,135.9833,16.09,86,100,7.06,JP,1682409349
129,hassi messaoud,31.6804,6.0729,27.38,18,4,2.53,DZ,1682409443
130,valparaiso,-33.0393,-71.6273,16.11,63,75,0.51,CL,1682409443
131,mount pearl,47.5166,-52.7813,1.09,96,100,7.2,CA,1682409443
132,shitanjing,39.2342,106.3439,15.74,21,0,5.45,CN,1682409443
133,palu,-0.8917,119.8707,28.65,84,100,1.51,ID,1682409360
134,dryden,49.7833,-92.7503,-2.84,63,75,1.54,CA,1682409444
135,oranjemund,-28.55,16.4333,19.34,78,56,4.34,NA,1682409444
136,midland,31.9974,-102.0779,14.03,80,100,8.75,US,1682409444
137,yuzhno-kurilsk,44.0306,145.8556,6.6,46,30,2.51,RU,1682409444
138,suntar,62.1444,117.6319,0.55,86,100,3.12,RU,1682409444
139,hamilton,39.1834,-84.5333,3.85,78,17,0.45,US,1682409444
140,puerto aysen,-45.4,-72.7,10.57,100,100,1.39,CL,1682409445
141,fougamou,-1.2154,10.5838,26.64,86,100,0.64,GA,1682409445
142,vadso,70.0744,29.7487,1.09,64,20,13.38,NO,1682409446
143,san patricio,28.017,-97.5169,21.91,91,95,4.93,US,1682409446
144,cole harbour,44.6724,-63.4751,4.71,91,33,2.57,CA,1682409446
145,nyurba,63.2842,118.3319,-1.05,88,100,3.05,RU,1682409446
146,kindu,-2.95,25.95,27.41,60,91,1.13,CD,1682409446
147,rudnichnyy,59.617,52.4703,19.18,35,4,5.04,RU,1682409446
148,kokkola,63.8385,23.1307,2.74,91,100,4.12,FI,1682409447
149,hammerfest,70.6634,23.6821,0.25,74,75,5.14,NO,1682409172
150,puerto ayora,-0.7393,-90.3518,22.53,97,5,1.99,EC,1682409447
151,nagqu,31.5,92.0,-0.58,68,100,3.66,CN,1682409256
152,el porvenir,13.7617,-87.3458,22.63,94,100,0.56,HN,1682409447
153,olonkinbyen,70.9221,-8.7187,-3.59,79,95,7.01,SJ,1682409447
154,manuguru,17.981,80.7547,37.64,30,45,4.36,IN,1682409448
155,college,64.8569,-147.8028,-11.96,89,95,3.05,US,1682409448
156,dwarka,22.2394,68.9678,30.83,49,100,3.69,IN,1682409448
157,invercargill,-46.4,168.35,11.68,82,100,0.89,NZ,1682409448
158,nova sintra,14.8667,-24.7167,20.02,77,0,7.86,CV,1682409171
159,imishli,39.8709,48.06,20.47,54,100,4.72,AZ,1682409449
160,klyuchi,52.2667,79.1667,9.89,31,99,4.95,RU,1682409209
161,mafinga,-7.25,35.0667,27.54,50,20,2.19,TZ,1682409449
162,mwinilunga,-11.7358,24.4293,23.17,56,48,3.15,ZM,1682409449
163,kelso,46.1468,-122.9084,7.47,92,75,0.0,US,1682409223
164,ilulissat,69.2167,-51.1,-9.96,81,71,2.56,GL,1682409450
165,tara,56.8944,74.371,9.48,58,100,4.53,RU,1682409450
166,kibre mengist,5.8833,38.9833,21.15,77,100,2.27,ET,1682409450
167,vila franca do campo,37.7167,-25.4333,17.23,98,100,3.92,PT,1682409450
168,chichli,22.8333,78.8167,38.2,13,8,3.86,IN,1682409450
169,san luis de la loma,17.2706,-100.8939,25.41,78,94,1.3,MX,1682409451
170,colonia rincon viejo,16.9,-95.05,22.7,90,79,0.94,MX,1682409451
171,maryborough,-25.5333,152.7,20.73,65,2,4.68,AU,1682409240
172,mwene-ditu,-7.0,23.45,19.82,93,100,2.11,CD,1682409451
173,carrollton,32.9537,-96.8903,17.56,66,100,3.09,US,1682409452
174,malmberget,67.1753,20.6549,-1.69,51,0,1.03,SE,1682409452
175,mandal,25.45,74.5667,34.92,12,59,4.96,IN,1682409452
176,enriquillo,17.9,-71.2333,23.62,83,98,2.02,DO,1682409452
177,atafu village,-8.5421,-172.5159,28.72,76,45,5.48,TK,1682409453
178,kingston,17.997,-76.7936,24.53,89,75,1.03,JM,1682409454
179,waddan,29.1614,16.139,22.66,24,22,1.77,LY,1682409454
180,bahia honda,22.9036,-83.1592,23.63,78,6,1.3,CU,1682409454
181,okhotsk,59.3833,143.3,0.89,86,79,1.59,RU,1682409171
182,igarka,67.4667,86.5833,2.04,100,100,5.35,RU,1682409454
183,tsiombe,-25.3,45.4833,27.18,45,15,2.96,MG,1682409454
184,lompoc,34.6391,-120.4579,10.29,79,75,7.6,US,1682409455
185,ola,59.5833,151.2833,0.74,80,100,8.4,RU,1682409455
186,kalabo,-14.97,22.6814,26.98,40,8,3.7,ZM,1682409455
187,shache,38.4167,77.2406,26.58,11,7,1.92,CN,1682409456
188,meadow lake,34.8014,-106.5436,13.4,59,100,0.18,US,1682409456
189,alice springs,-23.7,133.8833,27.75,28,7,3.6,AU,1682409456
190,kalmunai,7.4167,81.8167,31.52,61,100,4.81,LK,1682409257
191,ratnagiri,16.9833,73.3,30.26,64,2,5.29,IN,1682409457
192,isfara,40.1265,70.6253,25.93,22,16,3.51,TJ,1682409457
193,pemangkat,1.1667,108.9667,28.91,72,100,2.96,ID,1682409457
194,kudahuvadhoo,2.6708,72.8944,28.99,72,93,4.34,MV,1682409457
195,carutapera,-1.195,-46.02,23.73,95,100,1.82,BR,1682409458
196,borodulikha,50.7184,80.9295,9.58,32,100,5.29,KZ,1682409458
197,cervantes,-39.05,-67.3833,15.64,61,85,2.63,AR,1682409458
198,kudymkar,59.0173,54.656,19.29,35,1,5.81,RU,1682409458
199,anadyr,64.75,177.4833,-6.72,68,0,1.0,RU,1682409459
200,suva,-18.1416,178.4415,25.71,83,75,1.03,FJ,1682409086
201,senillosa,-39.0,-68.4167,9.88,45,47,3.89,AR,1682409459
202,abra pampa,-22.7205,-65.697,5.48,31,0,1.01,AR,1682409459
203,yantzaza,-3.8278,-78.7594,19.02,99,99,0.19,EC,1682409459
204,ankang,32.68,109.0172,21.27,46,0,0.98,CN,1682409460
205,sosnovskoye,55.8052,43.167,16.77,48,88,3.87,RU,1682409460
206,bayanhongor,46.7167,100.1167,6.97,24,100,4.83,MN,1682409229
207,carolina beach,34.0352,-77.8936,12.8,91,44,3.99,US,1682409460
208,port mathurin,-19.6833,63.4167,26.13,80,36,9.05,MU,1682409461
209,viedma,-40.8135,-62.9967,14.41,66,0,5.37,AR,1682409461
210,kapa'a,22.0752,-159.319,21.99,88,91,0.45,US,1682409461
211,kapuskasing,49.4169,-82.4331,-2.0,93,100,3.6,CA,1682409461
212,vega de alatorre,20.0333,-96.6333,23.19,90,100,1.47,MX,1682409461
213,enewetak,11.3474,162.3373,25.49,88,100,7.79,MH,1682409462
214,kassiri,8.9372,-13.1244,26.16,80,100,3.55,SL,1682409462
215,jebel,45.5556,21.2136,11.73,95,100,6.03,RO,1682409462
216,puerto baquerizo moreno,-0.9,-89.6,25.21,82,1,3.58,EC,1682409463
217,juneau,58.3019,-134.4197,2.0,97,100,1.54,US,1682409198
218,grigoropolisskaya,45.2972,41.0567,15.07,63,52,9.28,RU,1682409463
219,uturoa,-16.7333,-151.4333,27.39,81,87,5.75,PF,1682409187
220,mandalgovi,45.7625,106.2708,9.86,18,81,7.69,MN,1682409463
221,puerto colombia,10.9878,-74.9547,26.05,78,35,6.39,CO,1682409463
222,callao,-12.0667,-77.15,23.18,83,0,4.63,PE,1682409463
223,carnarvon,-24.8667,113.6333,21.06,48,7,7.7,AU,1682409447
224,san antonio de pale,-1.4014,5.6325,28.47,72,100,3.54,GQ,1682409464
225,aras-asan,8.8908,126.3033,29.14,67,80,3.68,PH,1682409464
226,abu al matamir,30.9102,30.1744,21.95,30,0,2.01,EG,1682409464
227,queenstown,-31.8976,26.8753,21.65,32,47,1.0,ZA,1682409465
228,hermanus,-34.4187,19.2345,17.11,75,9,1.17,ZA,1682409465
229,cadale,2.7603,46.3222,29.69,64,100,4.0,SO,1682409465
230,sisimiut,66.9395,-53.6735,0.47,87,100,2.61,GL,1682409270
231,kailua-kona,19.6406,-155.9956,24.98,88,40,2.06,US,1682409466
232,saipan,15.1355,145.701,27.58,100,2,6.71,MP,1682409466
233,severo-yeniseyskiy,60.3725,93.0408,-0.68,93,100,4.91,RU,1682409466
234,taoudenni,22.6783,-3.9836,30.72,10,0,6.51,ML,1682409466
235,vorgashor,67.5833,63.95,-4.74,88,90,3.08,RU,1682409466
236,bireun,5.203,96.7009,30.58,67,99,4.41,ID,1682409466
237,floro,61.5996,5.0328,5.13,52,40,6.17,NO,1682409467
238,port alfred,-33.5906,26.891,21.21,81,99,1.34,ZA,1682409467
239,chibougamau,49.9168,-74.3659,1.79,100,100,2.06,CA,1682409467
240,waat,51.1454,6.4958,9.04,76,40,5.14,DE,1682409467
241,segre,47.6833,-0.8667,10.5,86,100,3.22,FR,1682409467
242,joshimath,30.5667,79.5667,18.96,53,60,3.13,IN,1682409468
243,longyearbyen,78.2186,15.6401,-7.09,68,20,3.09,SJ,1682409468
244,berezovo,63.9381,65.0419,-0.41,96,100,2.25,RU,1682409468
245,afaahiti,-17.75,-149.2833,25.93,84,83,5.91,PF,1682409469
246,utrik,11.2278,169.8474,27.13,83,100,9.13,MH,1682409469
247,gazojak,41.1875,61.4036,27.74,12,12,9.09,TM,1682409469
248,fale old settlement,-9.3852,-171.2468,28.91,75,36,3.84,TK,1682409469
249,nakuru,-0.2833,36.0667,22.52,61,100,1.6,KE,1682409470
250,deming,32.2687,-107.7586,16.22,22,57,3.67,US,1682409470
251,vel'sk,61.0701,42.0983,17.28,45,78,1.88,RU,1682409470
252,tual,-5.6667,132.75,28.8,69,41,0.58,ID,1682409470
253,tete,-16.1564,33.5867,26.05,69,4,0.0,MZ,1682409470
254,ulsteinvik,62.3432,5.8487,4.95,73,100,5.36,NO,1682409470
255,chaman,30.9236,66.4512,27.73,15,99,4.98,PK,1682409471
256,haiku-pauwela,20.9219,-156.3051,22.8,86,21,0.89,US,1682409471
257,armacao de buzios,-22.7469,-41.8817,20.03,86,20,1.26,BR,1682409471
258,sao vicente,-23.9631,-46.3919,21.66,26,17,1.69,BR,1682409471
259,san blas,21.5167,-105.2667,19.98,63,23,1.21,MX,1682409471
260,vredendal,-31.6683,18.5012,20.52,70,9,0.24,ZA,1682409472
261,tamanrasset,22.785,5.5228,23.95,16,0,7.72,DZ,1682409472
262,wailua homesteads,22.0669,-159.378,21.24,88,93,0.45,US,1682409472
263,new norfolk,-42.7826,147.0587,17.72,56,28,1.53,AU,1682409472
264,aasiaat,68.7098,-52.8699,-6.23,100,100,2.79,GL,1682409472
265,bonthe,7.5264,-12.505,28.02,82,100,2.5,SL,1682409472
266,peace river,56.2501,-117.286,6.48,89,75,2.06,CA,1682409472
267,vila velha,-20.3297,-40.2925,21.97,96,100,2.06,BR,1682409473
268,zhigalovo,54.8097,105.1578,11.48,37,100,0.57,RU,1682409473
269,lerwick,60.1545,-1.1494,4.0,55,78,8.59,GB,1682409473
270,singera,46.9131,28.9775,14.39,67,0,4.63,MD,1682409474
271,ciutadella,40.0011,3.8414,17.45,74,100,1.8,ES,1682409474
272,barah,13.7,30.3667,37.06,23,42,3.47,SD,1682409474
273,antsiranana,-12.2787,49.2917,31.42,62,40,3.09,MG,1682409474
274,prince george,53.9166,-122.753,4.03,76,100,1.03,CA,1682409474
275,boguchany,58.3814,97.4531,6.06,93,100,3.01,RU,1682409475
